taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
fuvar{azonosito=5400, indulas_idopont='2016-12-16 08:45:00', idotartam=300, tavolsag=0.0, viteldij=5.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=414, indulas_idopont='2016-12-30 21:15:00', idotartam=120, tavolsag=0.0, viteldij=4.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=4285, indulas_idopont='2016-12-08 14:45:00', idotartam=480, tavolsag=0.0, viteldij=6.5, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=8044, indulas_idopont='2016-12-07 18:00:00', idotartam=60, tavolsag=0.0, viteldij=55.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=569, indulas_idopont='2016-12-02 17:00:00', idotartam=180, tavolsag=0.0, viteldij=4.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=6744, indulas_idopont='2016-12-21 18:00:00', idotartam=1080, tavolsag=0.0, viteldij=9.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3360, indulas_idopont='2016-12-04 01:00:00', idotartam=240, tavolsag=0.0, viteldij=4.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4680, indulas_idopont='2016-12-18 19:15:00', idotartam=480, tavolsag=0.0, viteldij=6.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1633, indulas_idopont='2016-12-18 11:00:00', idotartam=660, tavolsag=0.0, viteldij=9.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8117, indulas_idopont='2016-12-03 14:45:00', idotartam=420, tavolsag=0.0, viteldij=6.5, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=7415, indulas_idopont='2016-12-10 18:45:00', idotartam=780, tavolsag=0.0, viteldij=10.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3799, indulas_idopont='2016-12-31 14:15:00', idotartam=240, tavolsag=0.0, viteldij=5.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=7257, indulas_idopont='2016-12-19 15:15:00', idotartam=840, tavolsag=0.0, viteldij=9.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3773, indulas_idopont='2016-12-02 16:00:00', idotartam=420, tavolsag=0.0, viteldij=6.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3163, indulas_idopont='2016-12-03 00:45:00', idotartam=420, tavolsag=0.0, viteldij=10.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6078, indulas_idopont='2016-12-02 17:00:00', idotartam=540, tavolsag=0.0, viteldij=7.0, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=7355, indulas_idopont='2016-12-13 21:45:00', idotartam=300, tavolsag=0.0, viteldij=5.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6197, indulas_idopont='2016-12-02 13:30:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3040, indulas_idopont='2016-12-14 09:15:00', idotartam=900, tavolsag=0.0, viteldij=13.0, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=1026, indulas_idopont='2016-12-02 15:45:00', idotartam=300, tavolsag=0.0, viteldij=5.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4872, indulas_idopont='2016-12-15 12:30:00', idotartam=540, tavolsag=0.0, viteldij=7.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=788, indulas_idopont='2016-12-20 08:45:00', idotartam=600, tavolsag=0.0, viteldij=7.75, borravalo=4.38, fizetes_modja='bankkártya'}
fuvar{azonosito=5729, indulas_idopont='2016-12-22 14:15:00', idotartam=240, tavolsag=0.0, viteldij=4.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5796, indulas_idopont='2016-12-06 18:45:00', idotartam=720, tavolsag=0.0, viteldij=8.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=7939, indulas_idopont='2016-12-02 04:15:00', idotartam=300, tavolsag=0.0, viteldij=5.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3649, indulas_idopont='2016-12-09 14:30:00', idotartam=1020, tavolsag=0.0, viteldij=10.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=2175, indulas_idopont='2016-12-13 19:15:00', idotartam=840, tavolsag=0.0, viteldij=8.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=7992, indulas_idopont='2016-12-17 22:15:00', idotartam=3120, tavolsag=0.0, viteldij=43.5, borravalo=12.0, fizetes_modja='bankkártya'}
fuvar{azonosito=684, indulas_idopont='2016-12-31 12:30:00', idotartam=240, tavolsag=0.0, viteldij=5.0, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=8648, indulas_idopont='2016-12-23 16:15:00', idotartam=300, tavolsag=0.0, viteldij=5.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4109, indulas_idopont='2016-12-30 14:15:00', idotartam=540, tavolsag=0.0, viteldij=8.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=686, indulas_idopont='2016-12-12 23:30:00', idotartam=360, tavolsag=0.0, viteldij=6.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3865, indulas_idopont='2016-12-17 16:45:00', idotartam=360, tavolsag=0.0, viteldij=6.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3433, indulas_idopont='2016-12-09 18:00:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=393, indulas_idopont='2016-12-14 15:15:00', idotartam=600, tavolsag=0.0, viteldij=7.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2653, indulas_idopont='2016-12-08 15:00:00', idotartam=20, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3899, indulas_idopont='2016-12-23 10:00:00', idotartam=1560, tavolsag=0.0, viteldij=36.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4675, indulas_idopont='2016-12-08 18:30:00', idotartam=180, tavolsag=0.0, viteldij=4.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4325, indulas_idopont='2016-12-27 23:45:00', idotartam=420, tavolsag=0.0, viteldij=7.0, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=4877, indulas_idopont='2016-12-30 12:45:00', idotartam=300, tavolsag=0.0, viteldij=5.75, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=4576, indulas_idopont='2016-12-07 00:45:00', idotartam=240, tavolsag=0.0, viteldij=5.75, borravalo=3.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3684, indulas_idopont='2016-12-21 19:15:00', idotartam=480, tavolsag=0.0, viteldij=7.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2240, indulas_idopont='2016-12-28 14:45:00', idotartam=300, tavolsag=0.0, viteldij=5.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8636, indulas_idopont='2016-12-22 17:30:00', idotartam=480, tavolsag=0.0, viteldij=6.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1030, indulas_idopont='2016-12-19 09:15:00', idotartam=480, tavolsag=0.0, viteldij=6.75, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=6094, indulas_idopont='2016-12-17 23:15:00', idotartam=480, tavolsag=0.0, viteldij=6.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4438, indulas_idopont='2016-12-09 11:00:00', idotartam=540, tavolsag=0.0, viteldij=7.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6458, indulas_idopont='2016-12-09 11:45:00', idotartam=540, tavolsag=0.0, viteldij=7.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6775, indulas_idopont='2016-12-26 01:15:00', idotartam=420, tavolsag=0.0, viteldij=8.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=547, indulas_idopont='2016-12-31 16:00:00', idotartam=300, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1460, indulas_idopont='2016-12-24 18:45:00', idotartam=300, tavolsag=0.0, viteldij=5.25, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=1691, indulas_idopont='2016-12-24 21:15:00', idotartam=660, tavolsag=0.0, viteldij=10.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=505, indulas_idopont='2016-12-13 11:30:00', idotartam=420, tavolsag=0.0, viteldij=6.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6317, indulas_idopont='2016-12-16 17:00:00', idotartam=840, tavolsag=0.0, viteldij=8.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3043, indulas_idopont='2016-12-30 17:45:00', idotartam=600, tavolsag=0.0, viteldij=8.75, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3891, indulas_idopont='2016-12-15 18:45:00', idotartam=240, tavolsag=0.0, viteldij=5.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6065, indulas_idopont='2016-12-01 02:30:00', idotartam=60, tavolsag=0.0, viteldij=8.0, borravalo=0.0, fizetes_modja='bankkártya'}
fuvar{azonosito=2118, indulas_idopont='2016-12-01 20:45:00', idotartam=780, tavolsag=0.0, viteldij=11.75, borravalo=0.0, fizetes_modja='bankkártya'}
fuvar{azonosito=2457, indulas_idopont='2016-12-22 20:00:00', idotartam=960, tavolsag=0.0, viteldij=11.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5367, indulas_idopont='2016-12-13 15:45:00', idotartam=1080, tavolsag=0.0, viteldij=14.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4680, indulas_idopont='2016-12-09 18:15:00', idotartam=480, tavolsag=0.0, viteldij=6.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8014, indulas_idopont='2016-12-20 21:30:00', idotartam=180, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=710, indulas_idopont='2016-12-09 21:45:00', idotartam=540, tavolsag=0.0, viteldij=10.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2448, indulas_idopont='2016-12-16 12:15:00', idotartam=540, tavolsag=0.0, viteldij=8.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=2041, indulas_idopont='2016-12-14 12:45:00', idotartam=420, tavolsag=0.0, viteldij=6.5, borravalo=1.0, fizetes_modja='bankkártya'}
